Michael Brown is the 17 yr old boy who was shot 10x &amp; killed by police in #Ferguson today. Media reports ""police shoot man".#blackboysonly	1
17 year old unarmed kid shot ten times by police for stealing candy. I didn't know that was punishable by death.\n\n(read the #fergusontag)	1
200 cops in riot gear in #ferguson because there is a prayer circle and a concerned compassionatecommunity	1
Mike Brown was staying with his grandmother for the summer, who lived in the community.#Ferguson	1
Every 28 hours a black male is killed in the United States by police or vigilantes.#Ferguson	1
Unarmed teenage black boy #MikeBrown was shot ten times by a #Ferguson police officer for accusation of shopliftinghttp://t.co/rjKd6f2fM9	1
White man aiming down on police...nothing happens. Unarmed black kid walking back from store shot 10 times. #Fergusonhttp://t.co/48EcUF2Bwa	1
Teenager #MikeBrown won't start college on Monday because he was shot ten times by a #Ferguson police officer.http://t.co/B4hWevO7l9	1
Michael Brown DID NOT STEAL ANYTHING!!!!! It has just been reported that he didn't steal anything #FergusonShooting#Ferguson	1
Supposedly there might be one or two witnesses who have the shooting or part of the shooting recorded on their phones.#Ferguson	1
St. Louis: Unarmed teenager #MikeBrown was shot ten times by a #Ferguson police officer for accusation of shopliftinghttp://t.co/cmaG8mnMiP	1
Another account of what happened to #MikeBrown #JusticeForMikeBrown http://t.co/sOD2olFYwp #STL#FERGUSON	1
Witness: Police allegedly stopped Mike Brown after yelling at him to walk on sidewalk. #Fergusonhttp://t.co/XG00R6w0k6	1
There was only one TV reporter at #Ferguson protests last night. Most left earlier fearing violence. Yet only violence was cop'sbullets!	1
.@NBCNews I demand that you retract the lie that #Ferguson people were shouting ""Kill the police". Reporters at scene have refutedthat.	1
.@AP I demand you retract the lie that people in #Ferguson were shouting ""kill the police", local reporting has refuted your uglyracism	1
I'd be more inclined to take the #Ferguson PD account seriously if they hadn't been so careful to confiscate all video evidencebeforehand.	1
So last week NYPD tried to tell us that #EricGarner wasn't in a chokehold, now #Ferguson police telling us #MikeBrown assaulted theofficer	1
So #Ferguson Police can afford machine guns but they can't afford dash cameras for their squad cars? #interesting#MikeBrown	1
Line of police cars with high beams on greets anyone trying to enter #Ferguson. It's shut down. No media allowed.http://t.co/bk6jFFM7jj	1
Before his death #MikeBrown told his mother, ""The world will know who #MichaelBrown is!"#Ferguson	1
Currently the #FoxNews website has zero, repeat, ZERO coverage of the #Ferguson protests, probably due to lack of cowboyhats.	1
The ferguson chief says that his feelings are hurt that ppl consider him a part of the problem. #fergusonhttp://t.co/VoJGrMOPbZ	1
#Ferguson is completely shut down. No journalistsallowed.	1
Police have thrown something at the crowd. Not sure what tho. Protester says ""they have enough bullets for everybody down here#Ferguson	1
Call out to STL Co police: only can confirm a person shot on Chambers, and is down. No word on alive or dead, or why.#Ferguson	1
#BREAKING One woman shot in drive-by shooting on 1300 Highmont near the QT. Cannot confirm if the victim survived. #ferguson#mikebrown	1
St. Louis Co Police tell me ofcr shot a man who pointed handgun at him at Chambers &amp; Sheffingdell at about 1 a.m. Man in critical.#ferguson	1
It was a St. Louis County police officer who shot this man, according to PIO Brian Schellman.#ferguson	1
What are #Ferguson Police hiding about ""drive by" shooting of black woman recording last night's action? http://t.co/wfuDYm9q27#OpFerguson	1
In case YouTube vid disappears, here's childhood friend on tonight's #Ferguson ""drive by" #Bullshit #OpFergusonhttp://t.co/tkc6oIniUY	1
2nd police-involved shooting reported in #Ferguson, Mo., overnighthttp://t.co/VezLQ498BZ	1
Police in St. Louis County say an officer shot and critically wounded a suspect early this morning near #Fergusonhttp://t.co/htLmEiuCS5	1
Another police shooting in protest-plagued #Ferguson: http://t.co/NcVUm7Fqdp (Scott Olson, Getty Images)http://t.co/YfIp2RUB4N	1
The woman injured last night... #Ferguson http://t.co/MaOSd1iarV	1
A woman in #Ferguson was shot in head last night and released this selfie. Conflicting reports of how it happened:http://t.co/25WX6EkquG	1
BREAKING: #Anonymous has obtained audio files of police dispatch and EMS during the #MikeBrown shooting. Will release ASAP.#Ferguson	1
RT @bonedog84: Over 50 people have been arrested in #Ferguson.\n\nNone of them is the cop who shot that boy 10 times in coldblood.	1
Not just Mike Brown… Second police shooting in #Ferguson leaves man in critical conditionhttp://t.co/uZpgcJK0bB	1
Maybe hard hitting @foxnews should be covering what's going on in #Ferguson, Mo. instead of fat shaming the FirstLady??	1
Nearly 7k blacks were murdered last yr--almost all by other blacks. A tiny % were unarmed-killed-by-cop.\nWhere's Al, Jesse?\n#tcot#ferguson	1
Prayers out to mya, HU graduate who was shot while protesting in St. Louis! #MikeBrown #Fergusonhttp://t.co/J0OEIkJLHU	1
Lets bomb nurseries w/ White Babies!? FBI: #NBP leader inciting violence in #Ferguson http://t.co/TCXSbfrTsV #tcothttp://t.co/XDZqcWnoUQ	1
#ferguson has had ZERO homicides in the last year. 'Black on black crime is our real problem' folks where y'allat?	1
despite clear footage of #ferguson citizens chanting ""killer cops have got to go", media chooses to hear &amp; report "kill the cops"instead.	1
The officers were literally putting hands on media personnel, throwing people..." http://t.co/7QTY8soT46#Ferguson	1
Swat team in #Ferguson have state mandated 'murder insurance' to protect them from lawsuits if they killanyone.	1
